Selected,Cluster,Silhouette,Silhouette (Cluster),Selected (1),Selected (2),CustomerID,TotalSales,OrderCount,AvgOrderValue
No,C2,0.69167,0.687298,No,No,12383,0.990837,0.880431,0.556464
No,C2,0.691733,0.687588,No,No,12384,-0.143045,-0.486352,-0.0108795
No,C2,0.691857,0.688163,No,No,12386,-0.524229,-0.485546,-0.668483
No,C2,0.691982,0.688739,No,No,12388,1.2592,1.06498,0.989225
No,C2,0.692106,0.689315,No,No,12390,-0.201069,-1.72178,1.21246
No,C2,0.692168,0.689602,No,No,12391,-0.382393,-1.72097,0.977137
No,C2,0.692292,0.690178,No,No,12393,0.854642,0.577417,0.700718
No,C2,0.692354,0.690466,No,No,12394,0.658006,-0.484741,1.34623
No,C2,0.692414,0.690744,No,No,12395,1.30594,1.51547,-0.250228
No,C2,0.692538,0.69132,No,No,12397,1.17216,-0.483935,1.63474
No,C2,0.692599,0.691603,No,No,12398,0.88446,-1.72016,1.67503
No,C2,0.692661,0.69189,No,No,12399,0.533094,0.578223,-0.104362
No,C2,0.69278,0.692443,No,No,12401,-1.64441,-1.71936,-1.58639
No,C2,0.692843,0.692735,No,No,12402,-1.10608,-1.71855,-0.45734
No,C2,0.692905,0.693022,No,No,12403,-0.452505,-1.71775,0.852225
No,C2,0.693026,0.693586,No,No,12405,0.92556,-1.71694,1.68148
No,C2,0.693087,0.69387,No,No,12406,1.37363,-0.483129,1.67987
No,C2,0.693147,0.694152,No,No,12407,0.923948,0.881237,0.382393
No,C2,0.693207,0.694432,No,No,12408,1.28418,0.882042,1.25436
No,C2,0.693267,0.694711,No,No,12409,1.66617,0.16158,1.71855
No,C2,0.693328,0.694995,No,No,12410,0.0672915,-0.482323,0.417852
No,C2,0.693448,0.695553,No,No,12412,0.622547,0.162386,0.757936
No,C2,0.693508,0.69583,No,No,12413,0.160774,0.163192,-0.243781
No,C2,0.693567,0.696105,No,No,12414,-0.180921,0.163998,-0.796618
No,C2,0.693625,0.696376,No,No,12415,1.72822,1.66295,1.72822
No,C2,0.693744,0.696935,No,No,12417,1.34865,1.30997,0.763577
No,C2,0.693804,0.697211,No,No,12418,0.0294148,-1.71613,1.38411
No,C2,0.693922,0.697763,No,No,12420,-0.112421,-1.71533,1.29063
No,C2,0.693981,0.69804,No,No,12421,0.224439,0.579029,-0.662035
No,C2,0.69404,0.698317,No,No,12422,0.219604,0.164804,-0.157551
No,C2,0.694098,0.698587,No,No,12423,0.890101,1.20279,-0.374334
No,C2,0.694157,0.698864,No,No,12424,0.946513,-0.481517,1.5332
No,C2,0.694215,0.699133,No,No,12425,0.185757,-1.71452,1.48001
No,C2,0.694273,0.699406,No,No,12426,-0.14788,-1.71372,1.26242
No,C2,0.694332,0.699681,No,No,12427,0.245392,0.16561,-0.118062
No,C2,0.694388,0.699945,No,No,12428,1.63152,1.38814,1.53562
No,C2,0.694447,0.70022,No,No,12429,1.42279,0.579835,1.55818
No,C2,0.694503,0.700483,No,No,12430,-1.00454,-1.71291,-0.222828
No,C2,0.694561,0.700756,No,No,12431,1.588,1.59203,0.869148
No,C2,0.694619,0.701027,No,No,12432,1.52836,0.882848,1.58397
No,C2,0.694676,0.701294,No,No,12433,1.66214,0.883654,1.70243
No,C2,0.694735,0.701567,No,No,12434,0.222022,-0.480711,0.730536
No,C2,0.694791,0.70183,No,No,12435,1.62588,-0.479905,1.72097
No,C2,0.694847,0.702095,No,No,12436,-0.278434,-1.71211,1.11656
No,C2,0.694903,0.702356,No,No,12437,1.50983,1.62185,-0.0809916
No,C2,0.694961,0.702628,No,No,12438,1.28499,-0.479099,1.66053
No,C2,0.695128,0.703412,No,No,12441,-1.3003,-1.7113,-0.918307
No,C2,0.695298,0.70421,No,No,12444,1.52433,0.88446,1.57994
No,C2,0.695352,0.704465,No,No,12445,-1.47276,-1.71049,-1.27693
No,C2,0.69541,0.704739,No,No,12446,0.425105,-1.70969,1.58155
No,C2,0.695466,0.705002,No,No,12447,-0.352575,-1.70888,1.02791
No,C2,0.695522,0.705264,No,No,12448,-0.408987,-1.70808,0.932813
No,C2,0.695577,0.705525,No,No,12449,1.45664,0.580641,1.58719
No,C2,0.695631,0.705777,No,No,12450,-1.20923,-0.478293,-1.52192
No,C2,0.695688,0.706044,No,No,12451,1.6428,0.885266,1.68954
No,C2,0.695743,0.706307,No,No,12452,-0.442029,-0.477488,-0.542764
No,C2,0.695798,0.706565,No,No,12453,0.0914681,-1.70727,1.41715
No,C2,0.695853,0.70682,No,No,12454,1.38733,-1.70646,1.71694
No,C2,0.695908,0.707082,No,No,12455,1.18183,1.06578,0.773248
No,C2,0.695963,0.70734,No,No,12456,1.33334,0.166415,1.60331
No,C2,0.696017,0.707595,No,No,12457,1.15927,1.20359,0.354187
No,C2,0.696072,0.707856,No,No,12458,0.379169,-0.476682,1.01824
No,C2,0.696235,0.708622,No,No,12461,0.248616,-0.475876,0.782918
No,C2,0.696288,0.708876,No,No,12462,0.596759,-0.47507,1.28096
No,C2,0.696342,0.70913,No,No,12463,0.707165,0.581447,0.345322
No,C2,0.696394,0.709375,No,No,12464,0.611265,1.31077,-1.12784
No,C2,0.69645,0.709637,No,No,12465,0.137404,-0.474264,0.562106
No,C2,0.69661,0.710395,No,No,12468,0.118868,-0.473458,0.52987
No,C2,0.696768,0.711144,No,No,12471,1.69599,1.69841,1.30191
No,C2,0.696822,0.711398,No,No,12472,1.58961,1.2044,1.55899
No,C2,0.696876,0.711651,No,No,12473,1.44052,0.886072,1.48887
No,C2,0.696928,0.711899,No,No,12474,1.6162,1.63393,0.762771
No,C2,0.696981,0.712148,No,No,12475,0.114033,-1.70566,1.43166
No,C2,0.697033,0.712398,No,No,12476,1.60009,1.47195,1.32206
No,C2,0.697086,0.712648,No,No,12477,1.67906,1.06659,1.70405
No,C2,0.697191,0.713143,No,No,12479,-0.248616,-1.70485,1.16652
No,C2,0.697244,0.713395,No,No,12480,1.35026,0.582253,1.50822
No,C2,0.697295,0.713639,No,No,12481,1.55576,1.43569,1.22777
No,C2,0.697399,0.714133,No,No,12483,1.18989,1.31158,0.144657
No,C2,0.697451,0.714379,No,No,12484,1.49532,1.0674,1.46147
No,C2,0.697659,0.715365,No,No,12488,0.669288,0.167221,0.871566
No,C2,0.697709,0.715604,No,No,12489,-0.72973,-1.70405,0.33404
No,C2,0.69776,0.715847,No,No,12490,1.52192,1.38894,1.21407
No,C2,0.697812,0.716094,No,No,12491,-0.385617,-1.70324,0.975525
No,C2,0.697863,0.716334,No,No,12492,-0.989225,-0.472652,-1.29063
No,C2,0.697915,0.716583,No,No,12493,-0.435581,-0.471846,-0.525035
No,C2,0.697965,0.71682,No,No,12494,0.636247,1.2052,-0.874789
No,C2,0.698118,0.717545,No,No,12497,0.466205,-1.70243,1.59767
No,C2,0.698168,0.717786,No,No,12498,-0.521811,0.168027,-1.26806
No,C2,0.698269,0.718266,No,No,12500,1.47276,1.47276,0.653977
No,C2,0.698319,0.718506,No,No,12501,1.10608,-1.70163,1.70324
No,C2,0.69837,0.718746,No,No,12502,1.41876,0.886878,1.45019
No,C2,0.698471,0.719229,No,No,12504,-0.342099,-0.47104,-0.334846
No,C2,0.698568,0.71969,No,No,12506,-1.66859,-1.70082,-1.6299
No,C2,0.698621,0.719943,No,No,12507,0.67493,0.168833,0.876401
No,C2,0.69867,0.720179,No,No,12508,-0.531482,-0.470235,-0.692659
No,C2,0.698718,0.720408,No,No,12509,-1.28982,-1.70002,-0.894131
No,C2,0.69877,0.720653,No,No,12510,0.412211,-0.469429,1.06498
No,C2,0.698865,0.72111,No,No,12512,-1.44939,-0.468623,-1.64199
No,C2,0.698916,0.721354,No,No,12513,-0.085021,-1.69921,1.31077
No,C2,0.698965,0.721587,No,No,12514,0.442029,-1.69841,1.5888
No,C2,0.699014,0.721821,No,No,12515,-0.576612,-1.6976,0.641888
No,C2,0.699063,0.722056,No,No,12516,0.680571,-0.467817,1.36557
No,C2,0.699111,0.722285,No,No,12517,1.1915,0.887684,1.09721
No,C2,0.69916,0.722519,No,No,12518,0.930396,0.583059,0.859478
No,C2,0.699208,0.722746,No,No,12519,-0.712,-1.69679,0.375946
No,C2,0.699256,0.722976,No,No,12520,1.22293,0.888489,1.16491
No,C2,0.699303,0.723204,No,No,12521,-0.115645,-1.69599,1.2874
No,C2,0.69935,0.723426,No,No,12522,-1.2318,-0.467011,-1.5332
No,C2,0.699398,0.723656,No,No,12523,0.963437,1.47356,-1.01582
No,C2,0.699446,0.723885,No,No,12524,1.49129,1.31239,1.23099
No,C2,0.699542,0.724346,No,No,12526,0.460564,-0.466205,1.14315
No,C2,0.699587,0.724564,No,No,12527,-0.689436,0.169639,-1.39539
No,C2,0.699635,0.724794,No,No,12528,1.01904,1.0682,0.237333
No,C2,0.699729,0.725245,No,No,12530,0.898966,0.583865,0.794201
No,C2,0.699774,0.725456,No,No,12531,-1.49532,-1.69518,-1.33495
No,C2,0.699822,0.72569,No,No,12532,-0.683794,-1.69438,0.437999
No,C2,0.699915,0.726134,No,No,12534,0.51617,-1.69357,1.61459
No,C2,0.699963,0.726363,No,No,12535,0.107586,-0.465399,0.495217
No,C2,0.700007,0.726577,No,No,12536,1.67665,0.170445,1.72258
No,C2,0.7001,0.72702,No,No,12538,-0.635441,-1.69276,0.526647
No,C2,0.700145,0.727238,No,No,12539,1.55415,0.58467,1.65247
No,C2,0.700189,0.727452,No,No,12540,1.68068,1.62265,1.48968
No,C2,0.700238,0.727684,No,No,12541,0.407375,0.171251,0.276822
No,C2,0.700373,0.728335,No,No,12544,-0.612876,-1.69196,0.574194
No,C2,0.700419,0.728556,No,No,12545,0.424299,-0.464593,1.0956
No,C2,0.700464,0.728772,No,No,12546,0.583059,-0.463787,1.25839
No,C2,0.700507,0.72898,No,No,12547,-1.17297,-0.462982,-1.4929
No,C2,0.700551,0.72919,No,No,12548,-1.61701,-1.69115,-1.53965
No,C2,0.700642,0.72963,No,No,12550,0.39287,-1.69035,1.57027
No,C2,0.700686,0.72984,No,No,12551,-1.32367,-1.68954,-0.965855
No,C2,0.700732,0.730063,No,No,12552,-0.428328,-0.462176,-0.506499
No,C2,0.700775,0.730269,No,No,12553,1.37283,1.38975,0.621741
No,C2,0.700909,0.730916,No,No,12556,-0.105168,-0.46137,0.0519797
No,C2,0.700951,0.731118,No,No,12557,1.67262,0.889295,1.70969
No,C2,0.701041,0.731551,No,No,12559,-0.181727,-0.460564,-0.085021
No,C2,0.701084,0.731759,No,No,12560,0.770024,-0.459758,1.42763
No,C2,0.701127,0.731964,No,No,12561,-1.06417,-1.68873,-0.350963
No,C2,0.70117,0.732173,No,No,12562,1.32528,1.06901,1.14879
No,C2,0.701257,0.732594,No,No,12564,-0.394481,-1.68793,0.964243
No,C2,0.701298,0.732794,No,No,12565,-1.42199,-1.68712,-1.17216
No,C2,0.701343,0.733009,No,No,12566,-0.677347,-1.68632,0.451699
No,C2,0.701384,0.733207,No,No,12567,1.64683,1.43649,1.5606
No,C2,0.701469,0.733617,No,No,12569,1.37524,1.68793,-1.2866
No,C2,0.701557,0.734044,No,No,12571,-0.259898,-0.458952,-0.205098
No,C2,0.701599,0.734244,No,No,12572,-0.240557,-1.68551,1.17861
No,C2,0.70164,0.734442,No,No,12573,-1.35832,-1.68471,-1.04403
No,C2,0.701682,0.734649,No,No,12574,-1.13106,-1.6839,-0.512141
No,C2,0.701767,0.735058,No,No,12576,0.685406,0.890101,-0.184145
No,C2,0.701809,0.735263,No,No,12577,0.00201472,0.172057,-0.501664
No,C2,0.70185,0.73546,No,No,12578,1.26484,-0.458146,1.65489
No,C2,0.701892,0.735662,No,No,12579,-0.421076,-1.68309,0.89816
No,C2,0.701933,0.735862,No,No,12580,-0.486352,-1.68229,0.795007
No,C2,0.701973,0.736056,No,No,12581,-1.21004,-1.68148,-0.703136
No,C2,0.702016,0.736264,No,No,12582,-0.274404,-0.45734,-0.227663
No,C2,0.702054,0.736449,No,No,12583,1.59042,1.57672,1.00937
No,C2,0.702096,0.736651,No,No,12584,1.09802,1.31319,-0.160774
No,C2,0.702137,0.736851,No,No,12585,1.05692,-0.456535,1.58961
No,C2,0.702176,0.737041,No,No,12586,-1.21568,-1.68068,-0.709583
No,C2,0.702257,0.737433,No,No,12588,-1.1496,-1.67987,-0.5476
No,C2,0.702299,0.737636,No,No,12589,-0.0189383,-0.455729,0.247004
No,C2,0.702337,0.73782,No,No,12590,1.65086,-0.454923,1.72742
No,C2,0.702377,0.738016,No,No,12591,-0.404152,-1.67906,0.944902
No,C2,0.702418,0.738212,No,No,12592,-0.42994,-0.454117,-0.508111
No,C2,0.702456,0.738399,No,No,12593,-0.472652,0.172863,-1.22293
No,C2,0.702495,0.738587,No,No,12594,1.35671,1.4373,0.327593
No,C2,0.702575,0.738975,No,No,12596,-0.0745445,-0.453311,0.130151
No,C2,0.702612,0.739157,No,No,12597,1.42924,0.585476,1.56624
No,C2,0.702651,0.739346,No,No,12598,1.30674,1.314,0.612071
No,C2,0.702689,0.739532,No,No,12599,0.454117,1.20601,-1.15766
No,C2,0.702728,0.739719,No,No,12600,1.21004,1.4381,-0.204292
No,C2,0.702766,0.739904,No,No,12601,-0.155133,0.890907,-1.40345
No,C2,0.702803,0.740085,No,No,12602,-1.39136,-1.67826,-1.11011
No,C2,0.702843,0.740277,No,No,12603,0.131762,-1.67745,1.44455
No,C2,0.70288,0.740459,No,No,12604,-1.01179,-0.452505,-1.31561
No,C2,0.702994,0.741011,No,No,12607,0.85303,-1.67665,1.671
No,C2,0.70307,0.741384,No,No,12609,0.554853,0.173668,0.595147
No,C2,0.703107,0.741561,No,No,12610,1.0819,0.891713,0.813542
No,C2,0.703144,0.741741,No,No,12611,0.597565,-1.67584,1.63152
No,C2,0.703181,0.741922,No,No,12612,0.0858269,-1.67503,1.41393
No,C2,0.703217,0.7421,No,No,12613,1.35752,0.892519,1.38492
No,C2,0.703254,0.74228,No,No,12614,-0.804677,-1.67423,0.187369
No,C2,0.703292,0.742462,No,No,12615,0.99809,0.174474,1.32689
No,C2,0.703329,0.742643,No,No,12616,0.103556,-0.451699,0.483129
No,C2,0.703364,0.742813,No,No,12617,-0.662035,-1.67342,0.476682
No,C2,0.703398,0.742981,No,No,12618,-1.2866,-1.67262,-0.885266
No,C2,0.703435,0.743161,No,No,12619,1.40264,1.39056,0.737789
No,C2,0.703472,0.743343,No,No,12620,0.701524,0.17528,0.921531
No,C2,0.703505,0.743504,No,No,12621,1.67584,1.6428,1.37122
No,C2,0.703541,0.743677,No,No,12622,-1.27531,-1.67181,-0.855448
No,C2,0.703577,0.743856,No,No,12623,-0.862701,-1.671,0.085021
No,C2,0.703614,0.744034,No,No,12624,-0.0310266,-0.450893,0.226051
No,C2,0.703648,0.744201,No,No,12625,1.23824,-0.450087,1.64925
No,C2,0.703681,0.744364,No,No,12626,1.59203,1.39136,1.43972
No,C2,0.703717,0.744535,No,No,12627,1.48887,1.20681,1.35026
No,C2,0.703753,0.744711,No,No,12628,-0.169639,-0.449282,-0.0543973
No,C2,0.703821,0.745047,No,No,12630,0.6572,-0.448476,1.34462
No,C2,0.703855,0.745209,No,No,12631,-0.0318325,-1.6702,1.35268
No,C2,0.703923,0.745543,No,No,12633,1.10447,0.586282,1.19311
No,C2,0.703991,0.745875,No,No,12635,0.908637,-0.44767,1.51627
No,C2,0.704056,0.746196,No,No,12637,1.57349,1.3148,1.45664
No,C2,0.704091,0.746365,No,No,12638,0.0318325,-1.66939,1.38814
No,C2,0.704124,0.746529,No,No,12639,-0.33001,-1.66859,1.04805
No,C2,0.704159,0.746695,No,No,12640,0.590312,0.176086,0.678959
No,C2,0.704189,0.746844,No,No,12641,-1.25517,-1.66778,-0.808707
No,C2,0.704224,0.747018,No,No,12642,0.439611,0.176892,0.355799
No,C2,0.704256,0.747171,No,No,12643,1.35832,1.06981,1.21971
No,C2,0.704289,0.747332,No,No,12644,-0.350158,-1.66698,1.03194
No,C2,0.704321,0.747493,No,No,12645,0.955378,0.587088,0.912666
No,C2,0.704353,0.747648,No,No,12646,0.122092,-1.66617,1.43649
No,C2,0.704384,0.7478,No,No,12647,1.41796,1.51627,0.139015
No,C2,0.704417,0.74796,No,No,12648,-0.792589,-1.66536,0.209127
No,C2,0.704449,0.748119,No,No,12649,-0.0592326,0.177698,-0.612071
No,C2,0.704509,0.748412,No,No,12651,-1.54126,-1.66456,-1.41634
No,C2,0.704543,0.748578,No,No,12652,0.353381,-1.66375,1.55012
No,C2,0.704574,0.748733,No,No,12653,1.11736,-0.446864,1.61862
No,C2,0.704604,0.748879,No,No,12654,-0.110003,0.893325,-1.36799
No,C2,0.704666,0.749184,No,No,12656,1.45503,0.894131,1.50338
No,C2,0.704698,0.74934,No,No,12657,0.887684,0.587894,0.77083
No,C2,0.704728,0.749486,No,No,12658,0.056815,-1.66295,1.40506
No,C2,0.704756,0.749622,No,No,12659,-1.62749,-1.66214,-1.55496
No,C2,0.704788,0.749781,No,No,12660,-1.04161,-1.66133,-0.297775
No,C2,0.704848,0.750077,No,No,12662,1.39781,1.43891,0.516976
No,C2,0.704908,0.75037,No,No,12664,1.44777,1.31561,1.09077
No,C2,0.704935,0.750503,No,No,12665,-1.68229,-1.66053,-1.65328
No,C2,0.704997,0.750808,No,No,12667,-0.070515,-1.65972,1.32367
No,C2,0.705027,0.750953,No,No,12668,1.42843,0.5887,1.56543
No,C2,0.705057,0.751099,No,No,12669,1.25114,0.178504,1.54529
No,C2,0.705085,0.751241,No,No,12670,1.3003,0.894937,1.28579
No,C2,0.705142,0.75152,No,No,12672,-1.10366,-1.65892,-0.455729
No,C2,0.705171,0.751661,No,No,12673,-1.12139,-1.65811,-0.490382
No,C2,0.705201,0.751809,No,No,12674,1.03194,0.589506,1.07143
No,C2,0.705258,0.752087,No,No,12676,0.696689,1.07062,-0.487158
No,C2,0.705313,0.752358,No,No,12678,1.69679,1.51708,1.66133
No,C2,0.705343,0.752507,No,No,12679,0.537929,0.590312,-0.100333
No,C2,0.70537,0.752642,No,No,12680,-0.0826033,0.17931,-0.644306
No,C2,0.705396,0.752771,No,No,12681,1.6839,1.671,1.33495
No,C2,0.705424,0.752908,No,No,12682,1.66939,1.70163,0.660424
No,C2,0.705452,0.753043,No,No,12683,1.62023,1.55335,1.2737
No,C2,0.70548,0.753183,No,No,12684,1.08513,1.07143,0.445252
No,C2,0.705507,0.753314,No,No,12685,1.27773,1.07223,1.02952
No,C2,0.70553,0.753429,No,No,12686,-1.63474,-1.6573,-1.56785
No,C2,0.705586,0.753703,No,No,12688,1.51708,-1.6565,1.72661
No,C2,0.705614,0.753844,No,No,12689,0.638665,-0.446058,1.33092
No,C2,0.70564,0.753969,No,No,12690,-0.55727,-1.65569,0.666065
No,C2,0.705666,0.754098,No,No,12691,0.45734,1.07304,-0.926366
No,C2,0.705719,0.75436,No,No,12693,0.278434,0.591117,-0.554853
No,C2,0.705745,0.754489,No,No,12694,0.296163,-0.445252,0.875595
No,C2,0.70577,0.754612,No,No,12695,-0.307446,0.180116,-0.987613
No,C2,0.705822,0.754869,No,No,12697,0.38884,0.180921,0.22041
No,C2,0.705897,0.755237,No,No,12700,1.39862,0.181727,1.63555
No,C2,0.705923,0.755367,No,No,12701,0.211545,-0.444446,0.712806
No,C2,0.705946,0.75548,No,No,12702,-1.12784,-1.65489,-0.504082
No,C2,0.705972,0.755605,No,No,12703,-0.938454,-1.65408,-0.0672915
No,C2,0.705997,0.75573,No,No,12704,1.09963,1.20762,0.0946916
No,C2,0.70602,0.755845,No,No,12705,1.60089,1.39217,1.46389
No,C2,0.70607,0.756089,No,No,12707,-0.105974,-1.65328,1.29385
No,C2,0.706094,0.756208,No,No,12708,1.24389,1.43972,-0.138209
No,C2,0.706117,0.756322,No,No,12709,1.65005,1.59283,1.35913
No,C2,0.706143,0.756452,No,No,12710,0.574194,0.182533,0.639471
No,C2,0.706189,0.756677,No,No,12712,1.48485,1.55415,0.359022
No,C2,0.706236,0.756909,No,No,12714,1.50499,0.895742,1.56221
No,C2,0.706259,0.757026,No,No,12715,-0.6709,-1.65247,0.467011
No,C2,0.706282,0.75714,No,No,12716,0.0431149,-1.65166,1.3962
No,C2,0.706306,0.757259,No,No,12717,0.452505,-0.44364,1.13106
No,C2,0.706327,0.757362,No,No,12718,-1.06498,-1.65086,-0.353381
No,C2,0.70635,0.757475,No,No,12719,-0.937649,-1.65005,-0.0664856
No,C2,0.706372,0.757581,No,No,12720,1.5469,1.67826,-0.462176
No,C2,0.706395,0.757698,No,No,12721,1.23019,1.07384,0.907831
No,C2,0.706418,0.757812,No,No,12722,0.421076,0.591923,-0.263928
No,C2,0.706439,0.757916,No,No,12723,-0.0173266,0.592729,-1.0271
No,C2,0.706462,0.758028,No,No,12724,0.242975,0.183339,-0.122092
No,C2,0.706482,0.758128,No,No,12725,-0.451699,-1.64925,0.85303
No,C2,0.706504,0.758234,No,No,12726,1.21487,1.20843,0.575
No,C2,0.706524,0.758335,No,No,12727,1.44536,1.20923,1.24147
No,C2,0.706546,0.758445,No,No,12728,0.256675,0.593535,-0.592729
No,C2,0.706566,0.758545,No,No,12729,-0.401734,-1.64844,0.947319
No,C2,0.706605,0.758738,No,No,12731,1.6976,1.51789,1.6702
No,C2,0.706627,0.758847,No,No,12732,-1.06981,-1.64763,-0.369499
No,C2,0.706648,0.758951,No,No,12733,-0.575806,-1.64683,0.642694
No,C2,0.706666,0.759037,No,No,12734,-1.56624,-1.64602,-1.4518
No,C2,0.706689,0.759153,No,No,12735,0.191398,-0.442834,0.669288
No,C2,0.706707,0.759243,No,No,12736,-1.07626,-1.64522,-0.385617
No,C2,0.706745,0.759431,No,No,12738,-1.38089,-1.64441,-1.08754
No,C2,0.706767,0.759538,No,No,12739,0.438805,-0.442029,1.10688
No,C2,0.706785,0.759629,No,No,12740,-0.453311,-1.6436,0.851419
No,C2,0.706843,0.759915,No,No,12743,-0.209933,-0.441223,-0.127733
No,C2,0.70686,0.759997,No,No,12744,1.70082,1.21004,1.71452
No,C2,0.706916,0.760277,No,No,12747,1.4236,1.44052,0.596759
No,C2,0.706933,0.76036,No,No,12748,1.70969,1.73145,-1.01985
No,C2,0.706953,0.760461,No,No,12749,1.3559,0.594341,1.51225
No,C2,0.706971,0.760547,No,No,12750,-0.959407,-1.6428,-0.113227
No,C2,0.707006,0.760723,No,No,12752,1.48243,-1.64199,1.72581
No,C2,0.707024,0.760811,No,No,12753,1.70163,1.07465,1.71775
No,C2,0.707043,0.760904,No,No,12754,1.30433,0.184145,1.58236
No,C2,0.70706,0.760989,No,No,12755,1.43004,-0.440417,1.69438
No,C2,0.707074,0.761058,No,No,12756,-1.55576,-1.64119,-1.4373
No,C2,0.707092,0.761151,No,No,12757,1.62749,1.55496,1.29627
No,C2,0.707111,0.761242,No,No,12758,1.26323,-0.439611,1.65408
No,C2,0.707128,0.761328,No,No,12759,0.823213,0.184951,1.11897
No,C2,0.707176,0.761569,No,No,12762,-0.380781,-1.64038,0.982778
No,C2,0.707193,0.761652,No,No,12763,-0.313087,-0.438805,-0.285687
No,C2,0.707208,0.761727,No,No,12764,0.912666,-1.63958,1.67826
No,C2,0.707239,0.761881,No,No,12766,1.58316,1.07546,1.59848
No,C2,0.707287,0.762119,No,No,12769,0.571776,-1.63877,1.62588
No,C2,0.707303,0.762196,No,No,12770,0.709583,-1.63796,1.65005
No,C2,0.707333,0.762348,No,No,12772,0.323563,-1.63716,1.54045
No,C2,0.707379,0.762576,No,No,12775,0.736983,0.896548,-0.10275
No,C2,0.707423,0.762793,No,No,12778,0.241363,1.07626,-1.24389
No,C2,0.707438,0.762866,No,No,12779,1.44616,1.31642,1.08593
No,C2,0.707469,0.76302,No,No,12781,0.24781,-0.437999,0.781307
No,C2,0.707482,0.763088,No,No,12782,1.07465,0.595147,1.14154
No,C2,0.707496,0.763158,No,No,12783,0.979555,0.897354,0.5339
No,C2,0.707511,0.763232,No,No,12784,-0.16158,-0.437193,-0.0455326
No,C2,0.707524,0.763296,No,No,12785,-0.816766,-1.63635,0.162386
No,C2,0.707552,0.763432,No,No,12787,-0.376752,0.185757,-1.09802
No,C2,0.707576,0.763555,No,No,12789,-1.62507,-1.63555,-1.55173
No,C2,0.707592,0.763633,No,No,12790,-0.769218,-1.63474,0.257481
No,C2,0.707604,0.763694,No,No,12791,-1.23341,-1.63393,-0.749877
No,C2,0.707618,0.763762,No,No,12792,-0.527452,-1.63313,0.720865
No,C2,0.707631,0.763829,No,No,12793,-0.212351,-0.436387,-0.130957
No,C2,0.707644,0.76389,No,No,12794,0.284881,-0.435581,0.861089
No,C2,0.707655,0.763949,No,No,12795,-0.44364,-1.63232,0.861895
No,C2,0.707679,0.764067,No,No,12797,-1.01421,-1.63152,-0.237333
No,C2,0.70769,0.764122,No,No,12798,1.60653,0.186563,1.70808
No,C2,0.707739,0.764362,No,No,12802,-0.454117,-1.63071,0.850613
No,C2,0.707808,0.764707,No,No,12808,-0.336457,0.187369,-1.03516
No,C2,0.707819,0.764762,No,No,12809,-0.321952,-1.6299,1.05853
No,C2,0.707841,0.764875,No,No,12811,-0.268763,0.188174,-0.932813
No,C2,0.707852,0.764927,No,No,12812,-1.08916,-1.6291,-0.42027
No,C2,0.707872,0.765028,No,No,12814,-1.49129,-1.62829,-1.32609
No,C2,0.707885,0.76509,No,No,12815,0.490382,-0.434776,1.17619
